jeu_100_25_4.txt_3_currentSA	jeu_100_25_4.txt_3_bestSA	jeu_100_25_4.txt_3_currentTS	jeu_100_25_4.txt_3_bestTS	jeu_100_25_4.txt_3_currentGrasp	jeu_100_25_4.txt_3_bestGrasp	jeu_100_25_4.txt_3_currentIG	jeu_100_25_4.txt_3_bestIG	
-167.733	-4.73333	23031	23031	1084	23699	21856	24548	
-144.733	-4.73333	23239	23239	1416	23699	22319	24548	
-144.733	-4.73333	23472	23472	1493	23699	22680	24548	
-98.7333	-4.73333	23443	23472	1669	23699	23065	24548	
-98.7333	-4.73333	23838	23838	1767	23699	23368	24548	
-98.7333	-4.73333	23639	23838	1906	23699	23742	24548	
-98.7333	-4.73333	23524	23838	1939	23699	24087	24548	
-114.733	-4.73333	23466	23838	2026	23699	24440	24548	
-85.7333	-4.73333	23348	23838	2226	23699	24729	24729	
-43.7333	-4.73333	23164	23838	2288	23699	24903	24903	
13782	13782	23032	23838	2322	23699	24903	24903	
13782	13782	22936	23838	2409	23699	14293	24903	
13782	13782	23018	23838	2711	23699	14798	24903	
13959	13959	23053	23838	2865	23699	15085	24903	
13959	13959	22945	23838	3114	23699	15401	24903	
14200	14200	23136	23838	3349	23699	15649	24903	
14200	14200	22908	23838	3650	23699	16229	24903	
14476	14476	22670	23838	4167	23699	16761	24903	
14476	14476	22334	23838	4443	23699	17232	24903	
14476	14476	22719	23838	4575	23699	17940	24903	
14476	14476	22527	23838	4744	23699	18990	24903	
14476	14476	22725	23838	5129	23699	19280	24903	
14476	14476	22747	23838	5495	23699	19842	24903	
14161	14476	22852	23838	6105	23699	20538	24903	
14161	14476	22840	23838	6538	23699	21090	24903	
14161	14476	22774	23838	6726	23699	21447	24903	
14161	14476	23316	23838	7167	23699	22339	24903	
14474	14476	23006	23838	7603	23699	23033	24903	
14474	14476	22999	23838	8187	23699	23306	24903	
14844	14844	23036	23838	8786	23699	23660	24903	
14844	14844	23418	23838	9243	23699	24006	24903	
15217	15217	23257	23838	10088	23699	24353	24903	
15217	15217	22991	23838	10628	23699	24689	24903	
15217	15217	22653	23838	11290	23699	24932	24932	
15217	15217	23071	23838	11962	23699	25273	25273	
15217	15217	23113	23838	12673	23699	25273	25273	
15217	15217	22967	23838	13126	23699	15636	25273	
15217	15217	22764	23838	13883	23699	16366	25273	
15217	15217	22406	23838	14263	23699	16883	25273	
15217	15217	22154	23838	14897	23699	17018	25273	
15217	15217	22095	23838	14977	23699	17702	25273	
15366	15366	22059	23838	15052	23699	18024	25273	
15366	15366	22154	23838	15109	23699	18584	25273	
15366	15366	22153	23838	15181	23699	19123	25273	
15366	15366	22149	23838	15356	23699	19642	25273	
15593	15593	22136	23838	15510	23699	20025	25273	
16119	16119	22303	23838	15707	23699	20348	25273	
16119	16119	22254	23838	15899	23699	20835	25273	
15946	16119	22151	23838	16129	23699	21529	25273	
15946	16119	22334	23838	16293	23699	21936	25273	
15946	16119	22197	23838	16492	23699	22476	25273	
15946	16119	22017	23838	16610	23699	23354	25273	
15946	16119	21799	23838	16801	23699	23804	25273	
15946	16119	21797	23838	16890	23699	24168	25273	
15946	16119	21715	23838	17160	23699	24569	25273	
15946	16119	21598	23838	17406	23699	24979	25273	
15946	16119	21485	23838	17784	23699	25283	25283	
15946	16119	21831	23838	18024	23699	25303	25303	
15946	16119	22148	23838	18422	23699	25303	25303	
15946	16119	21968	23838	18649	23699	16367	25303	
15946	16119	21738	23838	18909	23699	17007	25303	
15946	16119	21945	23838	19155	23699	17366	25303	
15946	16119	21877	23838	19336	23699	17628	25303	
15946	16119	21734	23838	19784	23699	18455	25303	
15946	16119	21527	23838	20012	23699	19160	25303	
15672	16119	21289	23838	20317	23699	19854	25303	
15672	16119	21284	23838	20433	23699	20525	25303	
15672	16119	21351	23838	20579	23699	20924	25303	
15672	16119	21182	23838	20760	23699	21802	25303	
15672	16119	20931	23838	20902	23699	22258	25303	
15672	16119	21405	23838	21010	23699	22693	25303	
15672	16119	21424	23838	21222	23699	23181	25303	
15672	16119	21442	23838	21487	23699	23703	25303	
15672	16119	21774	23838	21781	23699	24163	25303	
15672	16119	21519	23838	22077	23699	24591	25303	
15672	16119	22029	23838	22267	23699	24987	25303	
15672	16119	21878	23838	22648	23699	25303	25303	
15620	16119	22027	23838	23005	23699	25303	25303	
15620	16119	21812	23838	23385	23699	14085	25303	
15620	16119	21530	23838	23569	23699	14881	25303	
15620	16119	21859	23838	23797	23797	15491	25303	
15672	16119	22029	23838	23909	23909	15858	25303	
15672	16119	21919	23838	24110	24110	16573	25303	
15672	16119	22082	23838	24482	24482	17147	25303	
15672	16119	22016	23838	24482	24482	17688	25303	
15672	16119	21815	23838	24482	24482	18057	25303	
15672	16119	21492	23838	24764	24764	18535	25303	
15672	16119	22006	23838	92	24764	18957	25303	
15672	16119	21967	23838	172	24764	19662	25303	
15672	16119	21901	23838	269	24764	20400	25303	
15672	16119	22051	23838	328	24764	21132	25303	
15672	16119	22016	23838	400	24764	21614	25303	
15672	16119	21950	23838	547	24764	21940	25303	
15672	16119	22183	23838	621	24764	22508	25303	
15672	16119	22217	23838	774	24764	22761	25303	
